slip_ratio,pacejka_fx_over_fz,linear_fx_over_fz,linear_error
1.680000000000000070e-03,5.828633776890716767e-02,5.525834820355768340e-02,-3.027989565349484269e-03
1.690000000000000096e-03,5.863257168336795389e-02,5.558726694286457437e-02,-3.045304740503379515e-03
1.700000000000000122e-03,5.897879300616935827e-02,5.591618568217146534e-02,-3.062607323997892927e-03
1.710000000000000148e-03,5.932500166350942322e-02,5.624510442147835632e-02,-3.079897242031066906e-03
1.720000000000000175e-03,5.967119758159866033e-02,5.657402316078524729e-02,-3.097174420813413043e-03
1.730000000000000201e-03,6.001738068666000875e-02,5.690294190009213826e-02,-3.114438786567870487e-03
1.740000000000000227e-03,6.036355090492907111e-02,5.723186063939902923e-02,-3.131690265530041872e-03
1.750000000000000036e-03,6.070970816265400943e-02,5.756077937870591327e-02,-3.148928783948096166e-03
1.760000000000000063e-03,6.105585238609573251e-02,5.788969811801281118e-02,-3.166154268082921330e-03
1.770000000000000089e-03,6.140198350152788892e-02,5.821861685731970215e-02,-3.183366644208186769e-03
1.780000000000000115e-03,6.174810143523704054e-02,5.854753559662659312e-02,-3.200565838610447411e-03
1.790000000000000141e-03,6.209420611352261393e-02,5.887645433593348410e-02,-3.217751777589129836e-03
1.800000000000000168e-03,6.244029746269706693e-02,5.920537307524037507e-02,-3.234924387456691863e-03
1.810000000000000194e-03,6.278637540908592329e-02,5.953429181454726604e-02,-3.252083594538657252e-03
1.820000000000000220e-03,6.313243987902779353e-02,5.986321055385415701e-02,-3.269229325173636513e-03
1.830000000000000246e-03,6.347849079887459001e-02,6.019212929316104799e-02,-3.286361505713542019e-03
1.840000000000000056e-03,6.382452809499136737e-02,6.052104803246793202e-02,-3.303480062523435346e-03
1.850000000000000082e-03,6.417055169375671109e-02,6.084996677177482993e-02,-3.320584921981881155e-03
1.860000000000000108e-03,6.451656152156245994e-02,6.117888551108172090e-02,-3.337676010480739031e-03
1.870000000000000134e-03,6.486255750481401128e-02,6.150780425038861188e-02,-3.354753254425399400e-03
1.880000000000000161e-03,6.520853956993034883e-02,6.183672298969550285e-02,-3.371816580234845984e-03
1.890000000000000187e-03,6.555450764334409819e-02,6.216564172900239382e-02,-3.388865914341704366e-03
1.900000000000000213e-03,6.590046165150155455e-02,6.249456046830928480e-02,-3.405901183192269754e-03
1.910000000000000239e-03,6.624640152086275213e-02,6.282347920761617577e-02,-3.422922313246576365e-03
1.920000000000000265e-03,6.659232717790163070e-02,6.315239794692306674e-02,-3.439929230978563957e-03
1.930000000000000075e-03,6.693823854910609106e-02,6.348131668622995771e-02,-3.456921862876133344e-03
1.940000000000000101e-03,6.728413556097792569e-02,6.381023542553684869e-02,-3.473900135441077008e-03
1.950000000000000127e-03,6.763001814003306855e-02,6.413915416484373966e-02,-3.490863975189328894e-03
1.960000000000000370e-03,6.797588621280152565e-02,6.446807290415063063e-02,-3.507813308650895023e-03
1.969999999999999963e-03,6.832173970582751388e-02,6.479699164345750773e-02,-3.524748062370006152e-03
1.979999999999999989e-03,6.866757854566955810e-02,6.512591038276441258e-02,-3.541668162905145523e-03
1.990000000000000015e-03,6.901340265890050507e-02,6.545482912207130355e-02,-3.558573536829201522e-03
2.000000000000000042e-03,6.935921197210760669e-02,6.578374786137819452e-02,-3.575464110729412170e-03
2.010000000000000068e-03,6.970500641189261715e-02,6.611266660068508549e-02,-3.592339811207531652e-03
2.020000000000000094e-03,7.005078590487186230e-02,6.644158533999197647e-02,-3.609200564879885831e-03
2.030000000000000120e-03,7.039655037767622581e-02,6.677050407929886744e-02,-3.626046298377358368e-03
2.040000000000000147e-03,7.074229975695135730e-02,6.709942281860575841e-02,-3.642876938345598892e-03
2.050000000000000173e-03,7.108803396935767238e-02,6.742834155791264938e-02,-3.659692411445022997e-03
