slip_angle_rad,slip_angle_deg,pacejka_fy_magnitude_over_fz,linear_fy_magnitude_over_fz,linear_error
4.345869837465879773e-04,2.489999999999999505e-02,7.814343188866475914e-03,7.421822922136840639e-03,-3.925202667296352754e-04
4.398229715025709675e-04,2.519999999999999671e-02,7.908483513569125600e-03,7.511242475415597086e-03,-3.972410381535285140e-04
4.450589592585539578e-04,2.549999999999999489e-02,8.002623536915760491e-03,7.600662028694354401e-03,-4.019615082214060900e-04
4.502949470145369481e-04,2.579999999999999655e-02,8.096763255320249195e-03,7.690081581973111716e-03,-4.066816733471374790e-04
4.555309347705199384e-04,2.609999999999999473e-02,8.190902665196512361e-03,7.779501135251869030e-03,-4.114015299446433307e-04
4.607669225265029287e-04,2.639999999999999639e-02,8.285041762958520947e-03,7.868920688530626345e-03,-4.161210744278946022e-04
4.660029102824859190e-04,2.669999999999999804e-02,8.379180545020299686e-03,7.958340241809382792e-03,-4.208403032109168940e-04
4.712388980384689093e-04,2.699999999999999623e-02,8.473319007795930558e-03,8.047759795088140974e-03,-4.255592127077895831e-04
4.764748857944518996e-04,2.729999999999999788e-02,8.567457147699538908e-03,8.137179348366897422e-03,-4.302777993326414863e-04
4.817108735504348899e-04,2.759999999999999606e-02,8.661594961145309066e-03,8.226598901645653869e-03,-4.349960594996551966e-04
4.869468613064178802e-04,2.789999999999999772e-02,8.755732444547484339e-03,8.316018454924412051e-03,-4.397139896230722877e-04
4.921828490624008704e-04,2.819999999999999590e-02,8.849869594320361813e-03,8.405438008203168498e-03,-4.444315861171933141e-04
4.974188368183838065e-04,2.849999999999999409e-02,8.944006406878287144e-03,8.494857561481924946e-03,-4.491488453963621980e-04
5.026548245743668510e-04,2.879999999999999574e-02,9.038142878635671909e-03,8.584277114760683128e-03,-4.538657638749887813e-04
5.078908123303497871e-04,2.909999999999999393e-02,9.132279006006977992e-03,8.673696668039439575e-03,-4.585823379675384170e-04
5.131268000863328316e-04,2.939999999999999905e-02,9.226414785406733196e-03,8.763116221318197757e-03,-4.632985640885354389e-04
5.183627878423157677e-04,2.969999999999999377e-02,9.320550213249512161e-03,8.852535774596954204e-03,-4.680144386525579570e-04
5.235987755982988122e-04,2.999999999999999889e-02,9.414685285949960653e-03,8.941955327875712387e-03,-4.727299580742482660e-04
5.288347633542817483e-04,3.029999999999999361e-02,9.508819999922776475e-03,9.031374881154468834e-03,-4.774451187683076414e-04
5.340707511102647928e-04,3.059999999999999873e-02,9.602954351582714682e-03,9.120794434433227016e-03,-4.821599171494876657e-04
5.393067388662477289e-04,3.089999999999999344e-02,9.697088337344599712e-03,9.210213987711981729e-03,-4.868743496326179837e-04
5.445427266222307734e-04,3.119999999999999857e-02,9.791221953623314989e-03,9.299633540990739911e-03,-4.915884126325750780e-04
5.497787143782137094e-04,3.149999999999999328e-02,9.885355196833801178e-03,9.389053094269496358e-03,-4.963021025643048201e-04
5.550147021341967539e-04,3.179999999999999494e-02,9.979488063391070071e-03,9.478472647548254540e-03,-5.010154158428155313e-04
5.602506898901796900e-04,3.209999999999999659e-02,1.007362054971017856e-02,9.567892200827010987e-03,-5.057283488831675750e-04
5.654866776461626261e-04,3.239999999999999131e-02,1.016775265220627202e-02,9.657311754105767435e-03,-5.104408981005045809e-04
5.707226654021456706e-04,3.269999999999999296e-02,1.026188436729454610e-02,9.746731307384525617e-03,-5.151530599100204860e-04
5.759586531581286067e-04,3.299999999999999462e-02,1.035601569139025895e-02,9.836150860663282064e-03,-5.198648307269768815e-04
5.811946409141116512e-04,3.329999999999999627e-02,1.045014662090874499e-02,9.925570413942040246e-03,-5.245762069667047472e-04
5.864306286700945873e-04,3.359999999999999098e-02,1.054427715226539247e-02,1.001498996722079669e-02,-5.292871850445957788e-04
5.916666164260776318e-04,3.389999999999999264e-02,1.063840728187566594e-02,1.010440952049955314e-02,-5.339977613761127950e-04
5.969026041820605678e-04,3.419999999999999429e-02,1.073253700615508892e-02,1.019382907377830959e-02,-5.387079323767793304e-04
6.021385919380436123e-04,3.449999999999999595e-02,1.082666632151926475e-02,1.028324862705706777e-02,-5.434176944621969818e-04
6.073745796940265484e-04,3.479999999999999066e-02,1.092079522438385575e-02,1.037266818033582422e-02,-5.481270440480315309e-04
6.126105674500095929e-04,3.509999999999999926e-02,1.101492371116459361e-02,1.046208773361458240e-02,-5.528359775500112094e-04
6.178465552059925290e-04,3.539999999999999397e-02,1.110905177827728636e-02,1.055150728689333885e-02,-5.575444913839475158e-04
6.230825429619755735e-04,3.569999999999999563e-02,1.120317942213780275e-02,1.064092684017209703e-02,-5.622525819657057250e-04
6.283185307179585096e-04,3.599999999999999034e-02,1.129730663916209653e-02,1.073034639345085348e-02,-5.669602457112430521e-04
6.335545184739415541e-04,3.629999999999999893e-02,1.139143342576617521e-02,1.081976594672961166e-02,-5.716674790365635500e-04
6.387905062299244902e-04,3.659999999999999365e-02,1.148555977836613479e-02,1.090918550000836811e-02,-5.763742783577666812e-04
6.440264939859075347e-04,3.689999999999999530e-02,1.157968569337813371e-02,1.099860505328712629e-02,-5.810806400910074193e-04
6.492624817418904707e-04,3.719999999999999696e-02,1.167381116721840847e-02,1.108802460656588100e-02,-5.857865606525274743e-04
6.544984694978735152e-04,3.749999999999999861e-02,1.176793619630326672e-02,1.117744415984463918e-02,-5.904920364586275366e-04
6.597344572538564513e-04,3.779999999999999333e-02,1.186206077704909240e-02,1.126686371312339563e-02,-5.951970639256967677e-04
6.649704450098394958e-04,3.809999999999999498e-02,1.195618490587234753e-02,1.135628326640215381e-02,-5.999016394701937177e-04
6.702064327658224319e-04,3.839999999999999664e-02,1.205030857918956179e-02,1.144570281968091026e-02,-6.046057595086515302e-04
6.754424205218053680e-04,3.869999999999999135e-02,1.214443179341734638e-02,1.153512237295966671e-02,-6.093094204576796763e-04
6.806784082777884125e-04,3.899999999999999301e-02,1.223855454497239752e-02,1.162454192623842489e-02,-6.140126187339726288e-04
6.859143960337713486e-04,3.929999999999999466e-02,1.233267683027147038e-02,1.171396147951718134e-02,-6.187153507542890452e-04
6.911503837897543931e-04,3.959999999999999631e-02,1.242679864573141384e-02,1.180338103279593952e-02,-6.234176129354743190e-04
6.963863715457373291e-04,3.989999999999999103e-02,1.252091998776915134e-02,1.189280058607469596e-02,-6.281194016944553760e-04
7.016223593017203736e-04,4.019999999999999268e-02,1.261504085280168094e-02,1.198222013935345415e-02,-6.328207134482267959e-04
7.068583470577033097e-04,4.049999999999999434e-02,1.270916123724608916e-02,1.207163969263220886e-02,-6.375215446138803033e-04
7.120943348136863542e-04,4.079999999999999599e-02,1.280328113751953711e-02,1.216105924591096704e-02,-6.422218916085700724e-04
7.173303225696692903e-04,4.109999999999999071e-02,1.289740055003926224e-02,1.225047879918972349e-02,-6.469217508495387486e-04
7.225663103256523348e-04,4.139999999999999236e-02,1.299151947122259738e-02,1.233989835246848167e-02,-6.516211187541157135e-04
7.278022980816352709e-04,4.169999999999999402e-02,1.308563789748694826e-02,1.242931790574723812e-02,-6.563199917397101457e-04
7.330382858376183154e-04,4.199999999999999567e-02,1.317975582524980559e-02,1.251873745902599630e-02,-6.610183662238092867e-04
7.382742735936012515e-04,4.229999999999999039e-02,1.327387325092874333e-02,1.260815701230475275e-02,-6.657162386239905832e-04
7.435102613495842960e-04,4.259999999999999898e-02,1.336799017094141701e-02,1.269757656558351093e-02,-6.704136053579060756e-04
7.487462491055672320e-04,4.289999999999999369e-02,1.346210658170557406e-02,1.278699611886226738e-02,-6.751104628433066829e-04
7.539822368615502765e-04,4.319999999999999535e-02,1.355622247963904695e-02,1.287641567214102556e-02,-6.798068074980213871e-04
7.592182246175332126e-04,4.349999999999999006e-02,1.365033786115973577e-02,1.296583522541978027e-02,-6.845026357399554978e-04
7.644542123735162571e-04,4.379999999999999866e-02,1.374445272268566033e-02,1.305525477869853845e-02,-6.891979439871218777e-04
7.696902001294991932e-04,4.409999999999999337e-02,1.383856706063489421e-02,1.314467433197729490e-02,-6.938927286575993086e-04
7.749261878854822377e-04,4.439999999999999503e-02,1.393268087142561680e-02,1.323409388525605308e-02,-6.985869861695637173e-04
7.801621756414651738e-04,4.469999999999998974e-02,1.402679415147609771e-02,1.332351343853480953e-02,-7.032807129412881747e-04
7.853981633974481099e-04,4.499999999999999140e-02,1.412090689720468806e-02,1.341293299181356598e-02,-7.079739053911220797e-04
7.906341511534311544e-04,4.529999999999999305e-02,1.421501910502983093e-02,1.350235254509232416e-02,-7.126665599375067717e-04
7.958701389094140904e-04,4.559999999999998777e-02,1.430913077137005614e-02,1.359177209837108061e-02,-7.173586729989755301e-04
8.011061266653971349e-04,4.589999999999999636e-02,1.440324189264399063e-02,1.368119165164983879e-02,-7.220502409941518401e-04
8.063421144213800710e-04,4.619999999999999107e-02,1.449735246527034983e-02,1.377061120492859524e-02,-7.267412603417545969e-04
8.115781021773631155e-04,4.649999999999999273e-02,1.459146248566793938e-02,1.386003075820735342e-02,-7.314317274605859620e-04
8.168140899333460516e-04,4.679999999999998744e-02,1.468557195025566031e-02,1.394945031148610813e-02,-7.361216387695521807e-04
8.220500776893290961e-04,4.709999999999999604e-02,1.477968085545251081e-02,1.403886986476486631e-02,-7.408109906876444994e-04
8.272860654453120322e-04,4.739999999999999075e-02,1.487378919767756540e-02,1.412828941804362276e-02,-7.454997796339426358e-04
8.325220532012950767e-04,4.769999999999999241e-02,1.496789697335001480e-02,1.421770897132238094e-02,-7.501880020276338601e-04
8.377580409572780128e-04,4.799999999999999406e-02,1.506200417888913304e-02,1.430712852460113739e-02,-7.548756542879956483e-04
8.429940287132610573e-04,4.829999999999999571e-02,1.515611081071429299e-02,1.439654807787989557e-02,-7.595627328343974166e-04
8.482300164692439933e-04,4.859999999999999043e-02,1.525021686524495428e-02,1.448596763115865202e-02,-7.642492340863022565e-04
8.534660042252270378e-04,4.889999999999999208e-02,1.534432233890069101e-02,1.457538718443741020e-02,-7.689351544632808122e-04
8.587019919812099739e-04,4.919999999999999374e-02,1.543842722810116405e-02,1.466480673771616665e-02,-7.736204903849974029e-04
8.639379797371930184e-04,4.949999999999999539e-02,1.553253152926612791e-02,1.475422629099492483e-02,-7.783052382712030842e-04
8.691739674931759545e-04,4.979999999999999011e-02,1.562663523881544642e-02,1.484364584427368128e-02,-7.829893945417651380e-04
8.744099552491589990e-04,5.009999999999999176e-02,1.572073835316907878e-02,1.493306539755243773e-02,-7.876729556166410517e-04
8.796459430051419351e-04,5.039999999999999342e-02,1.581484086874707096e-02,1.502248495083119417e-02,-7.923559179158767840e-04
8.848819307611249796e-04,5.069999999999999507e-02,1.590894278196959555e-02,1.511190450410995235e-02,-7.970382778596431933e-04
8.901179185171079157e-04,5.099999999999998979e-02,1.600304408925689800e-02,1.520132405738870880e-02,-8.017200318681892007e-04
8.953539062730908518e-04,5.129999999999999144e-02,1.609714478702934520e-02,1.529074361066746525e-02,-8.064011763618799539e-04
9.005898940290738963e-04,5.159999999999999309e-02,1.619124487170740118e-02,1.538016316394622343e-02,-8.110817077611777448e-04
9.058258817850568323e-04,5.189999999999998781e-02,1.628534433971162709e-02,1.546958271722497988e-02,-8.157616224866472143e-04
9.110618695410398768e-04,5.219999999999998946e-02,1.637944318746269515e-02,1.555900227050373806e-02,-8.204409169589570866e-04
9.162978572970228129e-04,5.249999999999999112e-02,1.647354141138136774e-02,1.564842182378249277e-02,-8.251195875988749651e-04
9.215338450530058574e-04,5.279999999999999277e-02,1.656763900788853563e-02,1.573784137706125269e-02,-8.297976308272829449e-04
9.267698328089887935e-04,5.309999999999998749e-02,1.666173597340517634e-02,1.582726093034000914e-02,-8.344750430651672046e-04
9.320058205649718380e-04,5.339999999999999608e-02,1.675583230435237492e-02,1.591668048361876558e-02,-8.391518207336093327e-04
9.372418083209547741e-04,5.369999999999999080e-02,1.684992799715133091e-02,1.600610003689752203e-02,-8.438279602538088786e-04
9.424777960769378186e-04,5.399999999999999245e-02,1.694402304822333408e-02,1.609551959017628195e-02,-8.485034580470521282e-04
9.477137838329207547e-04,5.429999999999998717e-02,1.703811745398980601e-02,1.618493914345503840e-02,-8.531783105347676144e-04
9.529497715889037992e-04,5.459999999999999576e-02,1.713221121087225157e-02,1.627435869673379484e-02,-8.578525141384567287e-04
9.581857593448867352e-04,5.489999999999999047e-02,1.722630431529230052e-02,1.636377825001255129e-02,-8.625260652797492322e-04
9.634217471008697797e-04,5.519999999999999213e-02,1.732039676367169712e-02,1.645319780329130774e-02,-8.671989603803893776e-04
9.686577348568527158e-04,5.549999999999999378e-02,1.741448855243227581e-02,1.654261735657006419e-02,-8.718711958622116232e-04
9.738937226128357603e-04,5.579999999999999544e-02,1.750857967799599596e-02,1.663203690984882410e-02,-8.765427681471718580e-04
9.791297103688186964e-04,5.609999999999999015e-02,1.760267013678491754e-02,1.672145646312758055e-02,-8.812136736573369933e-04
9.843656981248017409e-04,5.639999999999999181e-02,1.769675992522123237e-02,1.681087601640633700e-02,-8.858839088148953711e-04
9.896016858807847854e-04,5.670000000000000040e-02,1.779084903972721204e-02,1.690029556968509691e-02,-8.905534700421151306e-04
9.948376736367676131e-04,5.699999999999998818e-02,1.788493747672527737e-02,1.698971512296384989e-02,-8.952223537614274751e-04
1.000073661392750658e-03,5.729999999999998983e-02,1.797902523263793240e-02,1.707913467624260981e-02,-8.998905563953225883e-04
1.005309649148733702e-03,5.759999999999999148e-02,1.807311230388781650e-02,1.716855422952136626e-02,-9.045580743664502488e-04
1.010545636904716530e-03,5.789999999999998620e-02,1.816719868689766967e-02,1.725797378280011923e-02,-9.092249040975504404e-04
1.015781624660699574e-03,5.819999999999998785e-02,1.826128437809036720e-02,1.734739333607887915e-02,-9.138910420114880473e-04
1.021017612416682619e-03,5.849999999999998951e-02,1.835536937388885723e-02,1.743681288935763560e-02,-9.185564845312216287e-04
1.026253600172665663e-03,5.879999999999999810e-02,1.844945367071626485e-02,1.752623244263639551e-02,-9.232212280798693382e-04
1.031489587928648491e-03,5.909999999999998588e-02,1.854353726499577415e-02,1.761565199591514849e-02,-9.278852690806256576e-04
1.036725575684631535e-03,5.939999999999998753e-02,1.863762015315073226e-02,1.770507154919390841e-02,-9.325486039568238461e-04
1.041961563440614580e-03,5.969999999999998919e-02,1.873170233160457998e-02,1.779449110247266486e-02,-9.372112291319151245e-04
1.047197551196597624e-03,5.999999999999999778e-02,1.882578379678088304e-02,1.788391065575142477e-02,-9.418731410294582662e-04
1.052433538952580452e-03,6.029999999999998556e-02,1.891986454510331470e-02,1.797333020903017775e-02,-9.465343360731369449e-04
1.057669526708563497e-03,6.059999999999998721e-02,1.901394457299570087e-02,1.806274976230893767e-02,-9.511948106867632036e-04
1.062905514464546541e-03,6.089999999999998886e-02,1.910802387688195422e-02,1.815216931558769412e-02,-9.558545612942601077e-04
1.068141502220529586e-03,6.119999999999999746e-02,1.920210245318612272e-02,1.824158886886645403e-02,-9.605135843196686840e-04
1.073377489976512413e-03,6.149999999999998523e-02,1.929618029833237575e-02,1.833100842214520701e-02,-9.651718761871687369e-04
1.078613477732495458e-03,6.179999999999998689e-02,1.939025740874500414e-02,1.842042797542396346e-02,-9.698294333210406848e-04
1.083849465488478502e-03,6.209999999999999548e-02,1.948433378084843057e-02,1.850984752870272337e-02,-9.744862521457071936e-04
1.089085453244461547e-03,6.239999999999999714e-02,1.957840941106717830e-02,1.859926708198147982e-02,-9.791423290856984818e-04
1.094321441000444374e-03,6.269999999999999185e-02,1.967248429582591288e-02,1.868868663526023627e-02,-9.837976605656766071e-04
1.099557428756427419e-03,6.299999999999998657e-02,1.976655843154943512e-02,1.877810618853899272e-02,-9.884522430104424051e-04
1.104793416512410463e-03,6.329999999999999516e-02,1.986063181466264649e-02,1.886752574181775263e-02,-9.931060728448938557e-04
1.110029404268393508e-03,6.359999999999998987e-02,1.995470444159059761e-02,1.895694529509650908e-02,-9.977591464940885335e-04
1.115265392024376336e-03,6.389999999999998459e-02,2.004877630875842934e-02,1.904636484837526553e-02,-1.002411460383163810e-03
1.120501379780359380e-03,6.419999999999999318e-02,2.014284741259145597e-02,1.913578440165402197e-02,-1.007063010937434000e-03
1.125737367536342425e-03,6.449999999999998790e-02,2.023691774951508898e-02,1.922520395493277842e-02,-1.011713794582310560e-03
1.130973355292325252e-03,6.479999999999998261e-02,2.033098731595487513e-02,1.931462350821153487e-02,-1.016363807743340258e-03
1.136209343048308297e-03,6.509999999999999121e-02,2.042505610833650689e-02,1.940404306149029132e-02,-1.021013046846215577e-03
1.141445330804291341e-03,6.539999999999998592e-02,2.051912412308578085e-02,1.949346261476905123e-02,-1.025661508316729614e-03
1.146681318560274386e-03,6.569999999999999452e-02,2.061319135662862886e-02,1.958288216804780768e-02,-1.030309188580821184e-03
1.151917306316257213e-03,6.599999999999998923e-02,2.070725780539112854e-02,1.967230172132656413e-02,-1.034956084064564408e-03
1.157153294072240258e-03,6.629999999999998395e-02,2.080132346579947542e-02,1.976172127460532058e-02,-1.039602191194154840e-03
1.162389281828223302e-03,6.659999999999999254e-02,2.089538833428001424e-02,1.985114082788408049e-02,-1.044247506395933750e-03
1.167625269584206347e-03,6.690000000000000113e-02,2.098945240725919384e-02,1.994056038116283694e-02,-1.048892026096356900e-03
1.172861257340189175e-03,6.719999999999998197e-02,2.108351568116361915e-02,2.002997993444159339e-02,-1.053535746722025768e-03
1.178097245096172219e-03,6.749999999999999056e-02,2.117757815242002351e-02,2.011939948772034983e-02,-1.058178664699673671e-03
