slip_angle_deg,slip_angle_rad,normalized_fy
-1.530000000000000071e+01,-2.670353755551324593e-01,1.035487467382742999e+00
-1.524000000000000021e+01,-2.659881780039358157e-01,1.035861324183806609e+00
-1.517999999999999972e+01,-2.649409804527392276e-01,1.036233352040563549e+00
-1.512000000000000099e+01,-2.638937829015426395e-01,1.036603460694964784e+00
-1.506000000000000050e+01,-2.628465853503460514e-01,1.036971557457506465e+00
-1.500000000000000000e+01,-2.617993877991494078e-01,1.037337547146944150e+00
-1.494000000000000128e+01,-2.607521902479528753e-01,1.037701332028591272e+00
-1.488000000000000078e+01,-2.597049926967562317e-01,1.038062811751176540e+00
-1.482000000000000028e+01,-2.586577951455596436e-01,1.038421883282227620e+00
-1.475999999999999979e+01,-2.576105975943630555e-01,1.038778440841960027e+00
-1.470000000000000107e+01,-2.565634000431664674e-01,1.039132375835631450e+00
-1.464000000000000057e+01,-2.555162024919698793e-01,1.039483576784342445e+00
-1.458000000000000007e+01,-2.544690049407732357e-01,1.039831929254246612e+00
-1.452000000000000135e+01,-2.534218073895766477e-01,1.040177315784145851e+00
-1.446000000000000085e+01,-2.523746098383800596e-01,1.040519615811437593e+00
-1.440000000000000036e+01,-2.513274122871834715e-01,1.040858705596387157e+00
-1.433999999999999986e+01,-2.502802147359868279e-01,1.041194458144691248e+00
-1.428000000000000114e+01,-2.492330171847902676e-01,1.041526743128309285e+00
-1.422000000000000064e+01,-2.481858196335936795e-01,1.041855426804527252e+00
-1.416000000000000014e+01,-2.471386220823970636e-01,1.042180371933226324e+00
-1.410000000000000142e+01,-2.460914245312005033e-01,1.042501437692328503e+00
-1.404000000000000092e+01,-2.450442269800038875e-01,1.042818479591387515e+00
-1.398000000000000043e+01,-2.439970294288072716e-01,1.043131349383299211e+00
-1.392000000000000171e+01,-2.429498318776107113e-01,1.043439894974097504e+00
-1.385999999999999943e+01,-2.419026343264140677e-01,1.043743960330816067e+00
-1.380000000000000071e+01,-2.408554367752174796e-01,1.044043385387377620e+00
-1.374000000000000199e+01,-2.398082392240209193e-01,1.044338005948493686e+00
-1.367999999999999972e+01,-2.387610416728242757e-01,1.044627653591541971e+00
-1.362000000000000099e+01,-2.377138441216277154e-01,1.044912155566395384e+00
-1.356000000000000227e+01,-2.366666465704311273e-01,1.045191334693182705e+00
-1.350000000000000000e+01,-2.356194490192344837e-01,1.045465009257950273e+00
-1.344000000000000128e+01,-2.345722514680379234e-01,1.045732992906207803e+00
-1.337999999999999901e+01,-2.335250539168412798e-01,1.045995094534328596e+00
-1.332000000000000028e+01,-2.324778563656446917e-01,1.046251118178792350e+00
-1.326000000000000156e+01,-2.314306588144481314e-01,1.046500862903242401e+00
-1.319999999999999929e+01,-2.303834612632514878e-01,1.046744122683345601e+00
-1.314000000000000057e+01,-2.293362637120548997e-01,1.046980686289433304e+00
-1.308000000000000185e+01,-2.282890661608583394e-01,1.047210337166914140e+00
-1.301999999999999957e+01,-2.272418686096616958e-01,1.047432853314439249e+00
-1.296000000000000085e+01,-2.261946710584651354e-01,1.047648007159814210e+00
-1.290000000000000213e+01,-2.251474735072685474e-01,1.047855565433648550e+00
-1.283999999999999986e+01,-2.241002759560719038e-01,1.048055289040731086e+00
-1.278000000000000114e+01,-2.230530784048753434e-01,1.048246932929135733e+00
-1.271999999999999886e+01,-2.220058808536786998e-01,1.048430245957050477e+00
-1.266000000000000014e+01,-2.209586833024821118e-01,1.048604970757333499e+00
-1.260000000000000142e+01,-2.199114857512855514e-01,1.048770843599803104e+00
-1.253999999999999915e+01,-2.188642882000889078e-01,1.048927594251267914e+00
-1.248000000000000043e+01,-2.178170906488923475e-01,1.049074945833311290e+00
-1.242000000000000171e+01,-2.167698930976957594e-01,1.049212614677844657e+00
-1.235999999999999943e+01,-2.157226955464991158e-01,1.049340310180452152e+00
-1.230000000000000071e+01,-2.146754979953025555e-01,1.049457734651549456e+00
-1.224000000000000199e+01,-2.136283004441059674e-01,1.049564583165389031e+00
-1.217999999999999972e+01,-2.125811028929093238e-01,1.049660543406940816e+00
-1.212000000000000099e+01,-2.115339053417127635e-01,1.049745295516698373e+00
-1.206000000000000227e+01,-2.104867077905161754e-01,1.049818511933443776e+00
-1.200000000000000000e+01,-2.094395102393195596e-01,1.049879857235032965e+00
-1.194000000000000128e+01,-2.083923126881229715e-01,1.049928987977255535e+00
-1.187999999999999901e+01,-2.073451151369263279e-01,1.049965552530832236e+00
-1.182000000000000028e+01,-2.062979175857297676e-01,1.049989190916626125e+00
-1.176000000000000156e+01,-2.052507200345331795e-01,1.049999534639143084e+00
-1.169999999999999929e+01,-2.042035224833365359e-01,1.049996206518411412e+00
-1.164000000000000057e+01,-2.031563249321399756e-01,1.049978820520335088e+00
-1.158000000000000185e+01,-2.021091273809433875e-01,1.049946981585626160e+00
-1.151999999999999957e+01,-2.010619298297467439e-01,1.049900285457428861e+00
-1.146000000000000085e+01,-2.000147322785501836e-01,1.049838318507759549e+00
-1.140000000000000213e+01,-1.989675347273535955e-01,1.049760657562897714e+00
-1.133999999999999986e+01,-1.979203371761569796e-01,1.049666869727870155e+00
-1.128000000000000114e+01,-1.968731396249603915e-01,1.049556512210185089e+00
-1.122000000000000242e+01,-1.958259420737638312e-01,1.049429132142984278e+00
-1.116000000000000014e+01,-1.947787445225671876e-01,1.049284266407793043e+00
-1.110000000000000142e+01,-1.937315469713705995e-01,1.049121441457058879e+00
-1.103999999999999915e+01,-1.926843494201739559e-01,1.048940173136688969e+00
-1.098000000000000043e+01,-1.916371518689773956e-01,1.048739966508802191e+00
-1.092000000000000171e+01,-1.905899543177808075e-01,1.048520315674933645e+00
-1.085999999999999943e+01,-1.895427567665841917e-01,1.048280703599940633e+00
-1.080000000000000071e+01,-1.884955592153876036e-01,1.048020601936876739e+00
-1.074000000000000199e+01,-1.874483616641910155e-01,1.047739470853115806e+00
-1.067999999999999972e+01,-1.864011641129943997e-01,1.047436758858025119e+00
-1.062000000000000099e+01,-1.853539665617978116e-01,1.047111902632505753e+00
-1.056000000000000227e+01,-1.843067690106012513e-01,1.046764326860736283e+00
-1.050000000000000000e+01,-1.832595714594046077e-01,1.046393444064471989e+00
-1.044000000000000128e+01,-1.822123739082080196e-01,1.045998654440276621e+00
