slip_ratio,normalized_fx
-4.060000000000000275e-01,-8.156161647315263163e-01
-4.040000000000000258e-01,-8.169517244190060978e-01
-4.020000000000000240e-01,-8.182928283335594299e-01
-4.000000000000000222e-01,-8.196394860491779122e-01
-3.980000000000000204e-01,-8.209917064272799214e-01
-3.960000000000000187e-01,-8.223494975849559019e-01
-3.940000000000000169e-01,-8.237128668619976279e-01
-3.920000000000000151e-01,-8.250818207866497112e-01
-3.900000000000000133e-01,-8.264563650400422734e-01
-3.880000000000000115e-01,-8.278365044192453892e-01
-3.860000000000000098e-01,-8.292222427988912292e-01
-3.840000000000000080e-01,-8.306135830913029539e-01
-3.820000000000000062e-01,-8.320105272050708489e-01
-3.800000000000000044e-01,-8.334130760020129758e-01
-3.780000000000000027e-01,-8.348212292524469502e-01
-3.760000000000000009e-01,-8.362349855887121208e-01
-3.739999999999999991e-01,-8.376543424568594354e-01
-3.719999999999999973e-01,-8.390792960664380518e-01
-3.699999999999999956e-01,-8.405098413382985356e-01
-3.679999999999999938e-01,-8.419459718503234935e-01
-3.659999999999999920e-01,-8.433876797810057058e-01
-3.639999999999999902e-01,-8.448349558507727286e-01
-3.619999999999999885e-01,-8.462877892609687036e-01
-3.599999999999999867e-01,-8.477461676303920113e-01
-3.579999999999999849e-01,-8.492100769292764140e-01
-3.559999999999999831e-01,-8.506795014106147690e-01
-3.539999999999999813e-01,-8.521544235387011890e-01
-3.519999999999999796e-01,-8.536348239147761863e-01
-3.499999999999999778e-01,-8.551206811996415746e-01
-3.479999999999999760e-01,-8.566119720331186738e-01
-3.459999999999999742e-01,-8.581086709502030452e-01
-3.439999999999999725e-01,-8.596107502937735401e-01
-3.419999999999999707e-01,-8.611181801236988953e-01
-3.399999999999999689e-01,-8.626309281221827829e-01
-3.379999999999999671e-01,-8.641489594951752284e-01
-3.359999999999999654e-01,-8.656722368696735392e-01
-3.339999999999999636e-01,-8.672007201867256709e-01
-3.319999999999999618e-01,-8.687343665899404099e-01
-3.299999999999999600e-01,-8.702731303092960946e-01
-3.279999999999999583e-01,-8.718169625400322698e-01
-3.259999999999999565e-01,-8.733658113163988990e-01
-3.239999999999999547e-01,-8.749196213800186639e-01
-3.219999999999999529e-01,-8.764783340426139935e-01
-3.199999999999999512e-01,-8.780418870428371436e-01
-3.179999999999999494e-01,-8.796102143969136700e-01
-3.159999999999999476e-01,-8.811832462428227375e-01
-3.139999999999999458e-01,-8.827609086776910807e-01
-3.119999999999999440e-01,-8.843431235880836461e-01
-3.099999999999999423e-01,-8.859298084728499667e-01
-3.079999999999999405e-01,-8.875208762581607846e-01
-3.059999999999999387e-01,-8.891162351043619960e-01
-3.039999999999999369e-01,-8.907157882042435748e-01
-3.019999999999999352e-01,-8.923194335723025894e-01
-2.999999999999999334e-01,-8.939270638245556677e-01
-2.979999999999999316e-01,-8.955385659484388361e-01
-2.960000000000000409e-01,-8.971538210622936882e-01
-2.940000000000000391e-01,-8.987727041639245185e-01
-2.920000000000000373e-01,-9.003950838676769708e-01
-2.900000000000000355e-01,-9.020208221294571116e-01
-2.880000000000000338e-01,-9.036497739590819700e-01
-2.860000000000000320e-01,-9.052817871193123977e-01
-2.840000000000000302e-01,-9.069167018108897915e-01
-2.820000000000000284e-01,-9.085543503428554768e-01
-2.800000000000000266e-01,-9.101945567873881426e-01
-2.780000000000000249e-01,-9.118371366183609661e-01
-2.760000000000000231e-01,-9.134818963327639985e-01
-2.740000000000000213e-01,-9.151286330540934211e-01
-2.720000000000000195e-01,-9.167771341167568755e-01
-2.700000000000000178e-01,-9.184271766304907825e-01
-2.680000000000000160e-01,-9.200785270237223923e-01
-2.660000000000000142e-01,-9.217309405647539089e-01
-2.640000000000000124e-01,-9.233841608595715345e-01
-2.620000000000000107e-01,-9.250379193250229948e-01
-2.600000000000000089e-01,-9.266919346360219523e-01
-2.580000000000000071e-01,-9.283459121453653262e-01
-2.560000000000000053e-01,-9.299995432746627211e-01
-2.540000000000000036e-01,-9.316525048747884563e-01
-2.520000000000000018e-01,-9.333044585541713234e-01
-2.500000000000000000e-01,-9.349550499731336117e-01
-2.479999999999999982e-01,-9.366039081023875834e-01
-2.459999999999999964e-01,-9.382506444436786719e-01
-2.439999999999999947e-01,-9.398948522104459968e-01
-2.419999999999999929e-01,-9.415361054662358953e-01
-2.399999999999999911e-01,-9.431739582184736070e-01
-2.379999999999999893e-01,-9.448079434650425990e-01
-2.359999999999999876e-01,-9.464375721909723538e-01
-2.339999999999999858e-01,-9.480623323123611446e-01
-2.319999999999999840e-01,-9.496816875644903400e-01
-2.299999999999999822e-01,-9.512950763308937185e-01
-2.279999999999999805e-01,-9.529019104099420989e-01
-2.259999999999999787e-01,-9.545015737152987567e-01
-2.239999999999999769e-01,-9.560934209063631783e-01
-2.219999999999999751e-01,-9.576767759445851125e-01
-2.199999999999999734e-01,-9.592509305712737522e-01
-2.179999999999999716e-01,-9.608151427022467717e-01
-2.159999999999999698e-01,-9.623686347343838321e-01
-2.139999999999999680e-01,-9.639105917588284278e-01
-2.119999999999999662e-01,-9.654401596752595349e-01
-2.099999999999999645e-01,-9.669564432013063593e-01
-2.079999999999999627e-01,-9.684585037708042243e-01
-2.059999999999999609e-01,-9.699453573141991747e-01
-2.039999999999999591e-01,-9.714159719139898730e-01
-2.019999999999999574e-01,-9.728692653276566071e-01
-1.999999999999999556e-01,-9.743041023700514947e-01
-1.979999999999999538e-01,-9.757192921467349178e-01
-1.959999999999999520e-01,-9.771135851292143126e-01
-1.939999999999999503e-01,-9.784856700624871007e-01
-1.919999999999999485e-01,-9.798341706947062413e-01
-1.899999999999999467e-01,-9.811576423181674889e-01
-1.879999999999999449e-01,-9.824545681101691796e-01
-1.859999999999999432e-01,-9.837233552616121424e-01
-1.839999999999999414e-01,-9.849623308804914545e-01
-1.819999999999999396e-01,-9.861697376566795903e-01
-1.799999999999999378e-01,-9.873437292736197968e-01
-1.779999999999999361e-01,-9.884823655517278596e-01
-1.759999999999999343e-01,-9.895836073074558703e-01
-1.739999999999999325e-01,-9.906453109110865407e-01
-1.719999999999999307e-01,-9.916652225254264374e-01
-1.699999999999999289e-01,-9.926409720066298181e-01
-1.679999999999999272e-01,-9.935700664474347299e-01
-1.660000000000000364e-01,-9.944498833421290263e-01
-1.640000000000000346e-01,-9.952776633515871829e-01
-1.620000000000000329e-01,-9.960505026457492361e-01
-1.600000000000000311e-01,-9.967653447999541561e-01
-1.580000000000000293e-01,-9.974189722206030506e-01
-1.560000000000000275e-01,-9.980079970747406382e-01
-1.540000000000000258e-01,-9.985288516973073181e-01
-1.520000000000000240e-01,-9.989777784490718737e-01
-1.500000000000000222e-01,-9.993508189976165745e-01
-1.480000000000000204e-01,-9.996438029932576130e-01
-1.460000000000000187e-01,-9.998523361114735053e-01
-1.440000000000000169e-01,-9.999717874333348133e-01
-1.420000000000000151e-01,-9.999972761356230588e-01
-1.400000000000000133e-01,-9.999236574628684870e-01
-1.380000000000000115e-01,-9.997455079544855794e-01
-1.360000000000000098e-01,-9.994571099016288374e-01
-1.340000000000000080e-01,-9.990524350104214024e-01
-1.320000000000000062e-01,-9.985251272509425569e-01
-1.300000000000000044e-01,-9.978684848749044267e-01
-1.280000000000000027e-01,-9.970754415894638178e-01
-1.260000000000000009e-01,-9.961385468802532728e-01
-1.239999999999999991e-01,-9.950499454836587709e-01
-1.219999999999999973e-01,-9.938013560168285077e-01
-1.199999999999999956e-01,-9.923840487841028013e-01
-1.179999999999999938e-01,-9.907888227907563072e-01
-1.159999999999999920e-01,-9.890059820094408982e-01
-1.139999999999999902e-01,-9.870253109618155607e-01
-1.119999999999999885e-01,-9.848360496979032819e-01
-1.099999999999999867e-01,-9.824268682790948670e-01
-1.079999999999999849e-01,-9.797858408978366018e-01
-1.059999999999999831e-01,-9.769004197983202076e-01
-1.039999999999999813e-01,-9.737574091984007030e-01
-1.019999999999999796e-01,-9.703429394539530017e-01
-9.999999999999997780e-02,-9.666424417534451585e-01
-9.799999999999997602e-02,-9.626406236830806762e-01
-9.599999999999997424e-02,-9.583214460619279285e-01
-9.399999999999997247e-02,-9.536681015123661398e-01
-9.199999999999997069e-02,-9.486629953042708951e-01
-8.999999999999996891e-02,-9.432877290918296742e-01
-8.799999999999996714e-02,-9.375230882497537221e-01
-8.599999999999996536e-02,-9.313490336107710377e-01
-8.399999999999996358e-02,-9.247446985081845261e-01
-8.199999999999996181e-02,-9.176883921351630669e-01
-7.999999999999996003e-02,-9.101576103450423894e-01
-7.799999999999995826e-02,-9.021290551324789853e-01
-7.599999999999995648e-02,-8.935786641513850936e-01
-7.399999999999995470e-02,-8.844816517390082788e-01
-7.199999999999995293e-02,-8.748125630222320925e-01
-6.999999999999995115e-02,-8.645453427771616628e-01
-6.799999999999994937e-02,-8.536534207901519400e-01
-6.599999999999994760e-02,-8.421098155204016500e-01
-6.399999999999994582e-02,-8.298872578825452484e-01
-6.199999999999994404e-02,-8.169583369426627328e-01
-5.999999999999994227e-02,-8.032956692420164524e-01
-5.799999999999994049e-02,-7.888720933179026451e-01
-5.599999999999993872e-02,-7.736608907679787261e-01
-5.399999999999993694e-02,-7.576360348908309783e-01
-5.199999999999993516e-02,-7.407724675194408137e-01
-4.999999999999993339e-02,-7.230464041349015103e-01
-4.799999999999993161e-02,-7.044356666969181502e-01
-4.599999999999992983e-02,-6.849200428504810256e-01
-4.399999999999992806e-02,-6.644816692647121936e-01
-4.199999999999992628e-02,-6.431054358367195301e-01
-4.000000000000003553e-02,-6.207794063646147054e-01
-3.800000000000003375e-02,-5.974952500831924862e-01
-3.600000000000003197e-02,-5.732486771969677042e-01
-3.400000000000003020e-02,-5.480398702830516777e-01
-3.200000000000002842e-02,-5.218739022265935779e-01
-3.000000000000002665e-02,-4.947611302598977079e-01
-2.800000000000002487e-02,-4.667175547768384059e-01
-2.600000000000002309e-02,-4.377651309656713230e-01
-2.400000000000002132e-02,-4.079320210252344037e-01
-2.200000000000001954e-02,-3.772527748763845334e-01
-2.000000000000001776e-02,-3.457684279155439633e-01
-1.800000000000001599e-02,-3.135265055255079258e-01
-1.600000000000001421e-02,-2.805809257803643653e-01
-1.400000000000001243e-02,-2.469917940458757066e-01
-1.200000000000001066e-02,-2.128250859382987414e-01
-1.000000000000000888e-02,-1.781522182806896948e-01
-8.000000000000007105e-03,-1.430495111677128339e-01
-6.000000000000005329e-03,-1.075975478678276587e-01
-4.000000000000003553e-03,-7.188044288186895558e-02
-2.000000000000001776e-03,-3.598503185312081770e-02
0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000001776e-03,3.598503185312081770e-02
4.000000000000003553e-03,7.188044288186895558e-02
6.000000000000005329e-03,1.075975478678276587e-01
8.000000000000007105e-03,1.430495111677128339e-01
1.000000000000000888e-02,1.781522182806896948e-01
1.200000000000001066e-02,2.128250859382987414e-01
1.400000000000001243e-02,2.469917940458757066e-01
1.600000000000001421e-02,2.805809257803643653e-01
1.800000000000001599e-02,3.135265055255079258e-01
2.000000000000001776e-02,3.457684279155439633e-01
